Indicador,Nombre,Descripción,Periodicidad,,
19265,Ingresos no tributarios del gobierno central,Ingresos no tributarios del gobierno central,Mensual,,
19270,Contribuciones Sociales,Contribuciones Sociales,Mensual,,
19275,Otros Ingresos no tributarios,Otros Ingresos no tributarios,Mensual,,
19280,Transferencias,Transferencias,Mensual,,
19285,Ingresos de capital totales del gobierno central,Ingresos de capital totales del gobierno central,Mensual,,
19290,Gastos totales del gobierno central,Gastos totales del gobierno central,Mensual,,
19294,Gastos corrientes totales del gobierno central,Gastos corrientes totales del gobierno central,Mensual,,
19299,Gastos corrientes en remuneraciones del gobierno central,Gastos corrientes en remuneraciones del gobierno central,Mensual,,
19304,Sueldos y salarios,Gastos corrientes en remuneraciones del gobierno central,Mensual,,
19309,Cargas sociales,Gastos corrientes en bienes y servicios del gobierno central,Mensual,,
19314,Gasto en bienes y servicios,Gasto en bienes y servicios,Mensual,,
19319,Transferencias corrientes,Transferencias corrientes,Mensual,,
19324,Transferencias al sector privado,Transferencias al sector privado,Mensual,,
19329,Transferencias al sector público,Transferencias al sector público,Mensual,,
19334,Transferencias al resto del mundo,Transferencias al resto del mundo,Mensual,,
19339,Transferencias con recursos externos,Transferencias con recursos externos,Mensual,,
19344,Servicio de intereses,Servicio de intereses,Mensual,,
19349,Servicio de intereses de deuda interna,Servicio de intereses de deuda interna,Mensual,,
19354,Servicio de intereses de deuda externa,Servicio de intereses de deuda externa,Mensual,,
19359,Gastos de capital totales del gobierno central,Gastos de capital totales del gobierno central,Mensual,,
19364,Gastos de capital en inversiones en activos no financieros d,Gastos de capital en inversiones en activos no financieros del gobierno central,Mensual,,
19369,Gastos de capital en transferencias del gobierno central,Gastos de capital en transferencias del gobierno central,Mensual,,
19374,Al sector privado,Al sector privado,Mensual,,
19379,Al sector público,Al sector público,Mensual,,
19384,Al sector externo,Al sector externo,Mensual,,
19389,Con recursos externos,Con recursos externos,Mensual,,
21261,Capitalización Bancos Acumulado,Capitalización Bancos Acumulado,Mensual,,
25066,Concesión,Concesión,Mensual,,
19399,Ahorro corriente del gobierno central,Ahorro corriente del gobierno central,Mensual,,
19400,Resultado primario,Resultado primario,Mensual,,
19403,Ahorro corriente del gobierno central,Ahorro corriente del gobierno central,Mensual,,
19406,Resultado financiero,Resultado financiero,Mensual,,
19407,Resultado financiero,Resultado financiero,Mensual,,
19409,Discrepancia estadística,Discrepancia estadística,Mensual,,
19410,Financiamiento total acumulado,Resultado financiero del gobierno central,Mensual,,
19411,Financiamiento interno,Financiamiento interno,Mensual,,
19412,Financiamiento externo,Financiamiento externo,Mensual,,
6407,Deuda Pública Externa Total,Deuda Pública Externa Total,Mensual,,
,Mercado organizado negociación moneda extranjera,Mercado organizado negociación moneda extranjera,Mensual,,
33014,Posición Autorizada en Divisas,Posición Autorizada en Divisas,Mensual,,
18922,Tipo Cambio Compra Ventanilla Mercado Valores de C.R. P.B.,Tipo Cambio Compra Ventanilla Mercado Valores de C.R. P.B.,Diaria,,
18923,Tipo Cambio Venta Ventanilla Mercado Valores de C.R. P.B.,Tipo Cambio Venta Ventanilla Mercado Valores de C.R. P.B.,Diaria,,
19422,"Base monetaria restringida, pasivos frente a OSD encaje Dep.","Base monetaria restringida, pasivos frente a OSD por encaje legal, depósitos transferibles",Mensual,,
,Tasas de interés internacionales,Tasas de interés internacionales,Mensual,,
,Tasas del Tesoro de E.U.A.,Tasas del Tesoro de E.U.A.,Mensual,,
19690,Letras de Tesoro a 6 meses plazo,Letras de Tesoro a 6 meses plazo,Mensual,,
19709,"Producto Interno Bruto a precios básicos, real,PPA","Producto Interno Bruto a precios básicos, real,PPA",Trimestral,,
19720,"Producto Interno Bruto a precios de mercado, real, PPA","Producto Interno Bruto a precios de mercado, real, PPA",Trimestral,,
19749,Producto Interno Bruto a precios básicos,Producto Interno Bruto a precios básicos,Trimestral,,
19750,"Producto Interno Bruto a precios de mercado, real","Producto Interno Bruto a precios de mercado, real",Trimestral,,
19751,"Producto Interno Bruto y Gasto a precios de mercado, real","Producto Interno Bruto y Gasto a precios de mercado, real",Trimestral,,
19752,"Producto Interno Bruto y Gasto a precios de mercado, nominal","Producto Interno Bruto y Gasto a precios de mercado, nominal",Trimestral,,
,Composición del capital y posición en moneda extranjera de,Composición del capital y posición en moneda extranjera de las otras sociedades de depósito,Mensual,,
19949,Activos,Activos,Mensual,,
,Activos financieros,Activos financieros,Mensual,,
20302,ME,ME,Mensual,,
20312,MN,MN,Mensual,,
19982,Activos no financieros,Activos no financieros,Mensual,,
,Indice de dolarización,Indice de dolarización,Mensual,,
19945,Activa,Activa,Mensual,,
20511,Pasiva,Pasiva,Mensual,,
20515,Pasivos,Pasivos,Mensual,,
,Acciones y otras participaciones de capital,Acciones y otras participaciones de capital,Mensual,,
19986,Ajustes por valoración,Ajustes por valoración,Mensual,,
20186,Fondos aportados por los propietarios,Fondos aportados por los propietarios,Mensual,,
20612,Reservas generales,Reservas generales,Mensual,,
20617,Resultados año corriente,Resultados año corriente,Mensual,,
20670,Utilidades retenidas años anteriores,Utilidades retenidas años anteriores,Mensual,,
,Otros Pasivos,Otros Pasivos,Mensual,,
20303,ME,ME,Mensual,,
20313,MN,MN,Mensual,,
20537,Posición neta en moneda extranjera,Posición neta en moneda extranjera,Mensual,,
,Composición del capital y posición en moneda extranjera del,Composición del capital y posición en moneda extranjera del banco central,Mensual,,
19951,Activos,Activos,Mensual,,
,Activos financieros,Activos financieros,Mensual,,
20304,ME,ME,Mensual,,
20314,MN,MN,Mensual,,
19983,Activos no financieros,Activos no financieros,Mensual,,
,Indice de dolarización,Indice de dolarización,Mensual,,
19946,Activa,Activa,Mensual,,
20512,Pasiva,Pasiva,Mensual,,
20532,Pasivos y Acciones y otras participaciones de capital,Pasivos y Acciones y otras participaciones de capital,Mensual,,
,Acciones y otras participaciones de capital,Acciones y otras participaciones de capital,Mensual,,
19987,Ajustes por valoración,Ajustes por valoración,Mensual,,
20187,Fondos aportados por los propietarios,Fondos aportados por los propietarios,Mensual,,
20613,Reservas generales,Reservas generales,Mensual,,
20618,Resultados año corriente,Resultados año corriente,Mensual,,
20619,Resultados de periodos anteriores,Resultados de periodos anteriores,Mensual,,
,Pasivos,Pasivos,Mensual,,
20305,ME,ME,Mensual,,
20315,MN,MN,Mensual,,
20538,Posición neta en moneda extranjera,Posición neta en moneda extranjera,Mensual,,
,Activos externos netos,Activos externos netos,Mensual,,
20011,Banco Central,Banco Central,Mensual,,
19956,Activos externos,Activos externos,Mensual,,
19955,Activos de reserva oficiales,Activos de reserva oficiales,Mensual,,
20073,Billetes y monedas extranjeros,Billetes y monedas extranjeros,Mensual,,
20101,Depósitos,Depósitos,Mensual,,
20428,Otros Activos de Reservas Oficiales,Otros Activos de Reservas Oficiales,Mensual,,
20536,Posición de reserva en el FMI,Posición de reserva en el FMI,Mensual,,
20681,Valores,Valores,Mensual,,
20403,Otros activos,Otros activos,Mensual,,
20519,Pasivos externos,Pasivos externos,Mensual,,
19874,A corto plazo,A corto plazo,Mensual,,
20455,Otros pasivos,Otros pasivos,Mensual,,
20669,Uso del crédito FMI,Uso del crédito FMI,Mensual,,
20620,RIN,RIN,Mensual,,
20355,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20072,Billetes y monedas extranjeros,Billetes y monedas extranjeros,Mensual,,
20102,Depósitos (neto),Depósitos (neto),Mensual,,
20436,Otros activos/pasivos,Otros activos/pasivos,Mensual,,
20553,Préstamos (neto),Préstamos (neto),Mensual,,
,Balance sectorial de las otras sociedades de depósito: instr,Balance sectorial de las otras sociedades de depósito: instrumentos y sectores institucionales (acti,Mensual,,
,Billetes y monedas y depósitos,Billetes y monedas y depósitos,Mensual,,
20005,Banco Central,Banco Central,Mensual,,
20322,No residentes,No residentes,Mensual,,
20347,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20494,Otros sectores,Otros sectores,Mensual,,
20400,Otros activos,Otros activos,Mensual,,
,Préstamos,Préstamos,Mensual,,
20193,Gobierno central,Gobierno central,Mensual,,
20220,Gobierno estatal y local,Gobierno estatal y local,Mensual,,
20247,Hogares e ISFLSH,Hogares e ISFLSH,Mensual,,
20324,No residentes,No residentes,Mensual,,
20348,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20364,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20386,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20633,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20663,Total Activos,Total Activos,Mensual,,
,Valores distintos de acciones,Valores distintos de acciones,Mensual,,
20006,Banco Central,Banco Central,Mensual,,
20192,Gobierno Central,Gobierno Central,Mensual,,
20323,No residentes,No residentes,Mensual,,
20385,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20495,Otros sectores,Otros sectores,Mensual,,
,Balance sectorial de las otras sociedades de deposito: instr,Balance sectorial de las otras sociedades de deposito: instrumentos y sectores institucionales (acti,Mensual,,
,Billetes y monedas y depósitos,Billetes y monedas y depósitos,Mensual,,
20003,Banco Central,Banco Central,Mensual,,
20319,No residentes,No residentes,Mensual,,
20345,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20492,Otros sectores,Otros sectores,Mensual,,
20399,Otros activos,Otros activos,Mensual,,
,Préstamos,Préstamos,Mensual,,
20191,Gobierno central,Gobierno central,Mensual,,
20219,Gobierno estatal y local,Gobierno estatal y local,Mensual,,
20246,Hogares e ISFLSH,Hogares e ISFLSH,Mensual,,
20321,No residentes,No residentes,Mensual,,
20346,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20363,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20384,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20632,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20662,Total Activos,Total Activos,Mensual,,
,Valores distintos de acciones,Valores distintos de acciones,Mensual,,
20004,Banco Central,Banco Central,Mensual,,
20190,Gobierno Central,Gobierno Central,Mensual,,
20320,No residentes,No residentes,Mensual,,
20383,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20493,Otros sectores,Otros sectores,Mensual,,
,Balance sectorial de las otras sociedades de depósito: instr,Balance sectorial de las otras sociedades de depósito: instrumentos y sectores institucionales (acti,Mensual,,
,Billetes y monedas y depósitos,Billetes y monedas y depósitos,Mensual,,
20001,Banco Central,Banco Central,Mensual,,
20316,No residentes,No residentes,Mensual,,
20343,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20490,Otros sectores,Otros sectores,Mensual,,
20398,Otros activos,Otros activos,Mensual,,
,Préstamos,Préstamos,Mensual,,
20189,Gobierno central,Gobierno central,Mensual,,
20218,Gobierno estatal y local,Gobierno estatal y local,Mensual,,
20245,Hogares e ISFLSH,Hogares e ISFLSH,Mensual,,
20318,No residentes,No residentes,Mensual,,
20344,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20362,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20382,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20631,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20661,Total Activos,Total Activos,Mensual,,
,Valores distintos de acciones,Valores distintos de acciones,Mensual,,
20002,Banco Central,Banco Central,Mensual,,
20188,Gobierno Central,Gobierno Central,Mensual,,
20317,No residentes,No residentes,Mensual,,
20381,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20491,Otros sectores,Otros sectores,Mensual,,
,Balance sectorial de las otras sociedades de depósito: instr,Balance sectorial de las otras sociedades de depósito: instrumentos y sectores institucionales (pasi,Mensual,,
,Depósitos,Depósitos,Mensual,,
20196,Gobierno central,Gobierno central,Mensual,,
20223,Gobiernos estatales y locales,Gobiernos estatales y locales,Mensual,,
20250,Hogares e ISFLSH,Hogares e ISFLSH,Mensual,,
20329,No residentes,No residentes,Mensual,,
20353,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20369,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20389,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20636,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20451,Otros pasivos,Otros pasivos,Mensual,,
,Préstamos,Préstamos,Mensual,,
20009,Banco Central,Banco Central,Mensual,,
20330,No residentes,No residentes,Mensual,,
20354,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20370,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20498,Otros sectores,Otros sectores,Mensual,,
20665,Total Pasivos,Total Pasivos,Mensual,,
20678,Valores,Valores,Mensual,,
,Balance sectorial de las otras sociedades de depósito: instr,Balance sectorial de las otras sociedades de depósito: instrumentos y sectores institucionales (pasi,Mensual,,
,Depósitos,Depósitos,Mensual,,
20195,Gobierno central,Gobierno central,Mensual,,
20222,Gobiernos estatales y locales,Gobiernos estatales y locales,Mensual,,
20249,Hogares e ISFLSH,Hogares e ISFLSH,Mensual,,
20327,No residentes,No residentes,Mensual,,
20351,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20367,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20388,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20635,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20450,Otros pasivos,Otros pasivos,Mensual,,
,Préstamos,Préstamos,Mensual,,
20008,Banco Central,Banco Central,Mensual,,
20328,No residentes,No residentes,Mensual,,
20352,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20368,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20497,Otros sectores,Otros sectores,Mensual,,
20664,Total pasivos,Total pasivos,Mensual,,
20677,Valores,Valores,Mensual,,
,Balance sectorial de las otras sociedades de depósito: instr,Balance sectorial de las otras sociedades de depósito: instrumentos y sectores institucionales (pasi,Mensual,,
,Depósitos,Depósitos,Mensual,,
20194,Gobierno central,Gobierno central,Mensual,,
20221,Gobiernos estatales y locales,Gobiernos estatales y locales,Mensual,,
20248,Hogares e ISFLSH,Hogares e ISFLSH,Mensual,,
20325,No residentes,No residentes,Mensual,,
20349,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20365,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20387,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20634,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20487,Otros pasivos y capital,Otros pasivos y capital,Mensual,,
,Préstamos,Préstamos,Mensual,,
20007,Banco Central,Banco Central,Mensual,,
20326,No residentes,No residentes,Mensual,,
20350,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20366,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20496,Otros sectores,Otros sectores,Mensual,,
20666,Total pasivos y capital,Total pasivos y capital,Mensual,,
20676,Valores,Valores,Mensual,,
,Balance sectorial de las otras sociedades de depósito: resum,Balance sectorial de las otras sociedades de depósito: resumen por instrumentos,Mensual,,
19947,Activos,Activos,Mensual,,
19881,Acciones y otras participaciones de capital,Acciones y otras participaciones de capital,Mensual,,
19981,Activos no financieros,Activos no financieros,Mensual,,
20017,Billetes y moneda,Billetes y moneda,Mensual,,
20092,Depósitos,Depósitos,Mensual,,
20435,Otros activos financieros,Otros activos financieros,Mensual,,
20539,Préstamos,Préstamos,Mensual,,
20697,Valores distintos de acciones (tenencia),Valores distintos de acciones (tenencia),Mensual,,
21280,Riqueza Total,Riqueza Total,Mensual,,
21282,Riqueza OSD privada,Riqueza OSD privada,Mensual,,
20533,Pasivos y capital,Pasivos y capital,Mensual,,
19882,Acciones y otras participaciones de capital,Acciones y otras participaciones de capital,Mensual,,
,Depósitos,Depósitos,Mensual,,
20155,Excluidos de dinero en sentido amplio,Excluidos de dinero en sentido amplio,Mensual,,
20256,Incluidos en dinero en sentido amplio,Incluidos en dinero en sentido amplio,Mensual,,
20449,Otros pasivos,Otros pasivos,Mensual,,
20540,Préstamos,Préstamos,Mensual,,
20686,Valores distintos de acciones,Valores distintos de acciones,Mensual,,
,Base monetaria,Base monetaria,Mensual,,
20014,Base monetaria amplia,Base monetaria amplia,Mensual,,
20015,Base monetaria restringida,Base monetaria restringida,Mensual,,
20054,Billetes y monedas en circulación,Billetes y monedas en circulación,Mensual,,
,Pasivos frente a otras sociedades de depósito de encaje lega,Pasivos frente a otras sociedades de depósito de encaje legal (MN),Mensual,,
20136,Depósitos transferibles,Depósitos transferibles,Mensual,,
20679,Valores,Valores,Mensual,,
,Depósitos y valores otros sectores,Depósitos y valores otros sectores,Mensual,,
19870,(ME),(ME),Mensual,,
19873,(MN),(MN),Mensual,,
,Otros pasivos frente a otras sociedades de depósito a corto,Otros pasivos frente a otras sociedades de depósito a corto plazo,Mensual,,
,Otros depósitos,Otros depósitos,Mensual,,
19868,(ME),(ME),Mensual,,
19871,(MN),(MN),Mensual,,
,Otros valores,Otros valores,Mensual,,
19869,(ME),(ME),Mensual,,
19872,(MN),(MN),Mensual,,
,Pasivos frente a otras sociedades de depósito de encaje lega,Pasivos frente a otras sociedades de depósito de encaje legal (ME),Mensual,,
20137,Depósitos transferibles,Depósitos transferibles,Mensual,,
20440,Otros depósitos,Otros depósitos,Mensual,,
20680,Valores,Valores,Mensual,,
,Crédito al sector público no financiero de las otras socieda,Crédito al sector público no financiero de las otras sociedades de depósito,Mensual,,
19953,Activos,Activos,Mensual,,
20405,Otros Activos,Otros Activos,Mensual,,
,Préstamos,Préstamos,Mensual,,
20203,Gobierno Central,Gobierno Central,Mensual,,
20235,Gobiernos Estatales y Locales,Gobiernos Estatales y Locales,Mensual,,
20650,Sociedades Públicas no Financieras,Sociedades Públicas no Financieras,Mensual,,
,Valores Distintos de Acciones,Valores Distintos de Acciones,Mensual,,
20202,Gobierno Central,Gobierno Central,Mensual,,
20234,Gobiernos Estatales y Locales,Gobiernos Estatales y Locales,Mensual,,
20649,Sociedades Públicas no Financieras,Sociedades Públicas no Financieras,Mensual,,
20087,Crédito neto,Crédito neto,Mensual,,
20518,Pasivos,Pasivos,Mensual,,
,Depósitos Transferibles y Otros,Depósitos Transferibles y Otros,Mensual,,
20204,Gobierno Central,Gobierno Central,Mensual,,
20236,Gobiernos Estatales y Locales,Gobiernos Estatales y Locales,Mensual,,
20651,Sociedades Públicas no Financieras,Sociedades Públicas no Financieras,Mensual,,
20457,Otros Pasivos,Otros Pasivos,Mensual,,
,Valores,Valores,Mensual,,
20205,Gobierno Central,Gobierno Central,Mensual,,
20237,Gobiernos Estatales y Locales,Gobiernos Estatales y Locales,Mensual,,
20652,Sociedades Públicas no Financieras,Sociedades Públicas no Financieras,Mensual,,
,Crédito al sector público no financiero del banco central,Crédito al sector público no financiero del banco central,Mensual,,
19952,Activos,Activos,Mensual,,
20404,Otros Activos,Otros Activos,Mensual,,
20551,Préstamos,Préstamos,Mensual,,
19864,Gobierno Central,Gobierno Central,Mensual,,
20231,Gobiernos Estatales y Locales,Gobiernos Estatales y Locales,Mensual,,
20646,Sociedades Públicas no Financieras,Sociedades Públicas no Financieras,Mensual,,
20694,Valores Distintos de Acciones,Valores Distintos de Acciones,Mensual,,
20199,Gobierno Central,Gobierno Central,Mensual,,
20230,Gobiernos Estatales y Locales,Gobiernos Estatales y Locales,Mensual,,
20645,Sociedades Públicas no Financieras,Sociedades Públicas no Financieras,Mensual,,
20086,Crédito neto,Crédito neto,Mensual,,
20517,Pasivos,Pasivos,Mensual,,
20140,Depósitos Transferibles y Otros,Depósitos Transferibles y Otros,Mensual,,
20200,Gobierno Central,Gobierno Central,Mensual,,
20232,Gobiernos Estatales y Locales,Gobiernos Estatales y Locales,Mensual,,
20647,Sociedades Públicas no Financieras,Sociedades Públicas no Financieras,Mensual,,
20456,Otros Pasivos,Otros Pasivos,Mensual,,
20682,Valores,Valores,Mensual,,
20201,Gobierno Central,Gobierno Central,Mensual,,
20233,Gobiernos Estatales y Locales,Gobiernos Estatales y Locales,Mensual,,
20648,Sociedades Públicas no Financieras,Sociedades Públicas no Financieras,Mensual,,
,Encaje bancario requerido y efectivo por monedas (bancos com,Encaje bancario requerido y efectivo por monedas (bancos comerciales),Mensual,,
,ME,ME,Mensual,,
,Encaje efectivo,Encaje efectivo,Mensual,,
19879,Absoluto,Absoluto,Mensual,,
20659,Tasa,Tasa,Mensual,,
,Encaje excedente/faltante,Encaje excedente/faltante,Mensual,,
19880,Absoluto,Absoluto,Mensual,,
20660,Tasa,Tasa,Mensual,,
,Encaje requerido,Encaje requerido,Mensual,,
19878,Absoluto,Absoluto,Mensual,,
20658,Tasa,Tasa,Mensual,,
20332,Obligaciones sujetas a encaje,Obligaciones sujetas a encaje,Mensual,,
,MN,MN,Mensual,,
,Encaje efectivo,Encaje efectivo,Mensual,,
19876,Absoluto,Absoluto,Mensual,,
20656,Tasa,Tasa,Mensual,,
,Encaje excedente/faltante,Encaje excedente/faltante,Mensual,,
19877,Absoluto,Absoluto,Mensual,,
20657,Tasa,Tasa,Mensual,,
,Encaje requerido,Encaje requerido,Mensual,,
19875,Absoluto,Absoluto,Mensual,,
20655,Tasa,Tasa,Mensual,,
20331,Obligaciones sujetas a encaje,Obligaciones sujetas a encaje,Mensual,,
20292,Liquidez total,Liquidez total,Mensual,,
20142,Depósitos y valores a largo plazo,Depósitos y valores a largo plazo,Mensual,,
20103,Depósitos a largo plazo,Depósitos a largo plazo,Mensual,,
20685,Valores a largo plazo emitidos por:,Valores a largo plazo emitidos por:,Mensual,,
20010,Banco central,Banco central,Mensual,,
20356,Otras sociedades de depósito,Otras sociedades de depósito,Mensual,,
20500,Otros sectores,Otros sectores,Mensual,,
20295,M3,M3,Mensual,,
20138,Depósitos transferibles (ME) en poder de:,Depósitos transferibles (ME) en poder de:,Mensual,,
20227,Gobiernos estatales y locales,Gobiernos estatales y locales,Mensual,,
20253,Hogares y ISFLSH,Hogares y ISFLSH,Mensual,,
20373,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20393,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20641,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20294,M2,M2,Mensual,,
20293,M1,M1,Mensual,,
20071,Billetes y monedas en poder del público,Billetes y monedas en poder del público,Mensual,,
20139,Depósitos transferibles (MN) en poder de :,Depósitos transferibles (MN) en poder de :,Mensual,,
19865,Hogares y ISFLSH,Hogares y ISFLSH,Mensual,,
19866,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20224,Gobiernos estatales y locales,Gobiernos estatales y locales,Mensual,,
20390,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20638,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20443,Otros depósitos en poder de :,Otros depósitos en poder de :,Mensual,,
20225,Gobiernos estatales y locales,Gobiernos estatales y locales,Mensual,,
20251,Hogares y ISFLSH,Hogares y ISFLSH,Mensual,,
20371,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20391,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20639,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20754,Valores distintos de acciones MN (incluidos los del banco ce,Valores distintos de acciones MN (incluidos los del banco central) en poder de :,Mensual,,
20226,Gobiernos estatales y locales,Gobiernos estatales y locales,Mensual,,
20252,Hogares y ISFLSH,Hogares y ISFLSH,Mensual,,
20372,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20392,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20640,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20442,Otros depósitos (ME) en poder de :,Otros depósitos (ME) en poder de :,Mensual,,
20228,Gobiernos estatales y locales,Gobiernos estatales y locales,Mensual,,
20254,Hogares y ISFLSH,Hogares y ISFLSH,Mensual,,
20374,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20394,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20642,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20696,Valores distintos de acciones (ME) en poder de:,Valores distintos de acciones (ME) en poder de:,Mensual,,
19867,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20229,Gobiernos estatales y locales,Gobiernos estatales y locales,Mensual,,
20255,Hogares y ISFLSH,Hogares y ISFLSH,Mensual,,
20375,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20643,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20684,Valores a corto plazo emitidos por otros sectores,Valores a corto plazo emitidos por otros sectores,Mensual,,
20198,Gobierno central,Gobierno central,Mensual,,
20238,Gobiernos locales,Gobiernos locales,Mensual,,
20376,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20395,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20644,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
25583,M3,M3,Mensual,,
25584,M2,M2,Mensual,,
25585,M1,M1,Mensual,,
25678,M3,M3,Mensual,,
25679,M2,M2,Mensual,,
25680,M1,M1,Mensual,,
,Panorama de bancos (excluidos offshore),Panorama de bancos (excluidos offshore),Mensual,,
19958,Activos externos netos,Activos externos netos,Mensual,,
19968,Activos frente a no residentes,Activos frente a no residentes,Mensual,,
20521,Pasivos frente a no residentes,Pasivos frente a no residentes,Mensual,,
19975,Activos internos,Activos internos,Mensual,,
,Banco central,Banco central,Mensual,,
20019,Billetes y monedas,Billetes y monedas,Mensual,,
20089,Depósitos,Depósitos,Mensual,,
20672,Valores,Valores,Mensual,,
20207,Gobierno central (neto),Gobierno central (neto),Mensual,,
20213,Gobierno estatal y local,Gobierno estatal y local,Mensual,,
20240,Hogares e ISFLSH,Hogares e ISFLSH,Mensual,,
20337,Otras partidas (neto),Otras partidas (neto),Mensual,,
20359,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20378,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20626,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20530,Pasivos incluidos en la definición de dinero en sentido ampl,Pasivos incluidos en la definición de dinero en sentido amplio,Mensual,,
20133,Depósitos transferibles,Depósitos transferibles,Mensual,,
20445,Otros depósitos y valores,Otros depósitos y valores,Mensual,,
,Panorama de las sociedades de deposito,Panorama de las sociedades de deposito,Mensual,,
19960,Activos externos netos,Activos externos netos,Mensual,,
19970,Activos frente a no residentes,Activos frente a no residentes,Mensual,,
20523,Pasivos frente a no residentes,Pasivos frente a no residentes,Mensual,,
19977,Activos internos,Activos internos,Mensual,,
20209,Gobierno central (neto),Gobierno central (neto),Mensual,,
20215,Gobierno estatal y local,Gobierno estatal y local,Mensual,,
20242,Hogares e ISFLSH,Hogares e ISFLSH,Mensual,,
20341,Otras partidas netas,Otras partidas netas,Mensual,,
20361,Otras sociedades financieras,Otras sociedades financieras,Mensual,,
20380,Otras sociedades no financieras,Otras sociedades no financieras,Mensual,,
20628,Sociedades públicas no financieras,Sociedades públicas no financieras,Mensual,,
20146,Dinero en sentido amplio,Dinero en sentido amplio,Mensual,,
20069,Billetes y monedas en poder del público,Billetes y monedas en poder del público,Mensual,,
,Depósitos transferibles,Depósitos transferibles,Mensual,,
20296,ME,ME,Mensual,,
20306,MN,MN,Mensual,,
,Otros depósitos,Otros depósitos,Mensual,,
20297,ME,ME,Mensual,,
20307,MN,MN,Mensual,,
,Valores,Valores,Mensual,,
20298,ME,ME,Mensual,,
20308,MN,MN,Mensual,,
,Panorama de las sociedades financieras,Panorama de las sociedades financieras,Mensual,,
19962,Activos externos netos,Activos externos netos,Mensual,,
19972,Activos frente a no residentes,Activos frente a no residentes,Mensual,,
20525,Pasivos frente a no residentes,Pasivos frente a no residentes,Mensual,,
19979,Activos internos,Activos internos,Mensual,,
20211,Gobierno central (neto),Gobierno central (neto),Mensual,,
